Let's begin networking!
 The cnn model with 2 layers is estabished.
It is about the leave-one-out validation method!

Path Mark: content-2nditeration.json




******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 32
iterations per epoch: 36
*[测试结果] 片段识别 test 敏感度：56.76%, 特异度： 78.26%, 得分： 67.51, 准确度： 65.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：69.23%, 特异度： 87.0%, 得分： 78.12, 准确度： 78.02%, 用时: 1.21s.
*[测试结果] 片段识别 test 敏感度：40.54%, 特异度： 78.26%, 得分： 59.4, 准确度： 55.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：77.08%, 特异度： 79.45%, 得分： 78.27, 准确度： 78.25%, 用时: 1.22s.
*[测试结果] 片段识别 test 敏感度：54.05%, 特异度： 78.26%, 得分： 66.16, 准确度： 63.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：81.32%, 特异度： 76.57%, 得分： 78.94, 准确度： 78.97%, 用时: 1.12s.
*[测试结果] 片段识别 test 敏感度：56.76%, 特异度： 73.91%, 得分： 65.33, 准确度： 63.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：83.05%, 特异度： 75.92%, 得分： 79.48, 准确度： 79.52%, 用时: 1.15s.
*[测试结果] 片段识别 test 敏感度：59.46%, 特异度： 73.91%, 得分： 66.69, 准确度： 65.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：85.71%, 特异度： 73.35%, 得分： 79.53, 准确度： 79.6%, 用时: 1.2s.
